"variable","percent","dollar"
"After-Tax Income",100,55586.715394
"Income Tax",100,55586.715394
"Employee Payroll Taxes",100,55586.715394
"Employer Payroll Taxes",100,55586.715394
"Pre-tax",100,55586.715394
