"variable","percent","dollar"
"After-Tax Income",71.591141,48737.0713203259
"Income Tax",15.866266,10801.2713141318
"Employee Payroll Taxes",7.074358,4816.00775704243
"Employer Payroll Taxes",7.524731,5122.60799717199
"Pre-tax",100,68076.958461
